epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,52.2464,0.85087,2.38605,1.28999,0.67613,0.79207,0.82124,0.68069,0.69814,1.35509,1.22702,0.000319813,0.000319813,0.000319813
6,62.5613,0.85367,2.19498,1.27676,0.71803,0.85312,0.90118,0.75543,0.6633,1.08857,1.19655,0.000316517,0.000316517,0.000316517
7,72.8478,0.81329,1.97188,1.25221,0.79864,0.82411,0.89443,0.76948,0.61354,0.93275,1.1413,0.00031322,0.00031322,0.00031322
8,83.2963,0.79382,1.86394,1.24287,0.79907,0.79971,0.90989,0.77897,0.61568,1.03672,1.14182,0.000309923,0.000309923,0.000309923
9,93.6108,0.78835,1.69824,1.21005,0.9107,0.92274,0.96792,0.83348,0.60838,0.7135,1.12197,0.000306626,0.000306626,0.000306626
10,103.916,0.75592,1.63943,1.19646,0.90753,0.90352,0.95746,0.82457,0.6041,0.72751,1.11839,0.00030333,0.00030333,0.00030333
11,114.198,0.75822,1.54508,1.19289,0.86802,0.94733,0.96715,0.83254,0.59027,0.68606,1.12193,0.000300033,0.000300033,0.000300033
12,124.518,0.76061,1.49174,1.19802,0.90437,0.9234,0.97915,0.83693,0.59881,0.72536,1.11569,0.000296736,0.000296736,0.000296736
13,134.842,0.74696,1.45324,1.18985,0.92756,0.93649,0.97695,0.85456,0.56822,0.61018,1.0959,0.00029344,0.00029344,0.00029344
14,145.165,0.72818,1.34381,1.17249,0.92858,0.94803,0.98344,0.85576,0.58211,0.63633,1.09733,0.000290143,0.000290143,0.000290143
15,155.482,0.72471,1.35085,1.17907,0.95208,0.94095,0.98703,0.86228,0.5611,0.57147,1.07251,0.000286846,0.000286846,0.000286846
16,165.804,0.72571,1.30367,1.16257,0.95106,0.94346,0.98526,0.86849,0.54961,0.54722,1.06683,0.00028355,0.00028355,0.00028355
17,176.124,0.73162,1.2949,1.17716,0.96461,0.96603,0.99204,0.86865,0.56078,0.50549,1.08078,0.000280253,0.000280253,0.000280253
18,186.446,0.71851,1.21601,1.16273,0.97944,0.96045,0.99139,0.87364,0.53234,0.46983,1.04459,0.000276956,0.000276956,0.000276956
