epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,357.504,0.63847,0.82597,1.0965,0.78092,0.92449,0.93532,0.74203,0.90139,0.61556,1.29611,0.000304154,0.000304154,0.000304154
37,367.395,0.63468,0.78844,1.10191,0.8795,0.89902,0.94137,0.80677,0.70274,0.53463,1.1384,0.00030333,0.00030333,0.00030333
38,377.29,0.65077,0.80602,1.10493,0.9241,0.84877,0.94901,0.77546,0.8173,0.61598,1.22731,0.000302506,0.000302506,0.000302506
39,387.166,0.63962,0.80802,1.10374,0.91509,0.88308,0.95108,0.78797,0.80754,0.6069,1.20835,0.000301681,0.000301681,0.000301681
40,397.073,0.64197,0.79991,1.09683,0.92236,0.8327,0.92732,0.74495,0.88599,0.60286,1.2873,0.000300857,0.000300857,0.000300857
41,406.984,0.64343,0.75468,1.09776,0.89576,0.84861,0.93076,0.74838,0.86326,0.62525,1.26101,0.000300033,0.000300033,0.000300033
42,416.913,0.63261,0.75788,1.08918,0.895,0.85253,0.91598,0.73565,0.90731,0.69462,1.33762,0.000299209,0.000299209,0.000299209
43,426.791,0.62151,0.75734,1.08229,0.85647,0.87075,0.91283,0.73728,0.84431,0.68329,1.25335,0.000298385,0.000298385,0.000298385
44,436.698,0.62927,0.7384,1.09981,0.88846,0.84941,0.93213,0.76187,0.81128,0.658,1.23754,0.00029756,0.00029756,0.00029756
45,446.582,0.63492,0.74912,1.09544,0.89494,0.84741,0.92316,0.77728,0.76525,0.58977,1.17252,0.000296736,0.000296736,0.000296736
46,456.491,0.62133,0.72306,1.08427,0.92229,0.87928,0.94191,0.75897,0.88781,0.60162,1.30325,0.000295912,0.000295912,0.000295912
47,466.388,0.61569,0.70044,1.07542,0.91023,0.88305,0.935,0.76698,0.82534,0.58408,1.23553,0.000295088,0.000295088,0.000295088
48,476.288,0.61935,0.70651,1.08407,0.90613,0.88062,0.95459,0.77321,0.86769,0.56169,1.26517,0.000294264,0.000294264,0.000294264
49,486.19,0.60821,0.68948,1.07437,0.84272,0.89272,0.9349,0.7707,0.81402,0.57883,1.22658,0.00029344,0.00029344,0.00029344
50,496.092,0.63034,0.72168,1.08714,0.8827,0.84969,0.9282,0.7623,0.81245,0.62597,1.2218,0.000292615,0.000292615,0.000292615
51,505.981,0.6198,0.68925,1.08106,0.92921,0.83879,0.94365,0.77387,0.82117,0.58809,1.23781,0.000291791,0.000291791,0.000291791
52,515.894,0.61953,0.6748,1.08152,0.94336,0.86871,0.94905,0.77386,0.82542,0.49381,1.22629,0.000290967,0.000290967,0.000290967
53,525.784,0.60421,0.66415,1.07298,0.92968,0.84143,0.94225,0.75562,0.89212,0.53585,1.30972,0.000290143,0.000290143,0.000290143
54,535.683,0.60845,0.66644,1.07069,0.90307,0.8378,0.93733,0.75116,0.9064,0.57218,1.31442,0.000289319,0.000289319,0.000289319
55,545.576,0.61171,0.65172,1.07723,0.89997,0.86751,0.94384,0.77896,0.79767,0.55331,1.19224,0.000288495,0.000288495,0.000288495
56,555.659,0.60054,0.64572,1.07565,0.90075,0.84815,0.93048,0.78276,0.71385,0.57449,1.16311,0.00028767,0.00028767,0.00028767
57,565.564,0.59386,0.64039,1.0683,0.913,0.83482,0.93685,0.76802,0.83423,0.5736,1.26154,0.000286846,0.000286846,0.000286846
